publish_date,publish_time_utc,ref,format,rhyme_title,content_type,setting,palette,companion,status,review_state,approved_by,pipeline_cmd
2026-11-01,21:00,SHT-20261101-4,short,Hickory Dickory Dock,rhyme,a hay loft with warm light through the slats,"sage green, warm terracotta, oat",a bright green frog in wellington boots,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20261101-4 --rhyme hickory_dickory --format short
2026-11-02,09:00,VID-20261102-1,long,"Mary, Mary, Quite Contrary",rhyme,a quiet hilltop meadow under a wide evening sky,"dusty blue, buttermilk, pale coral",a plump robin with a red waistcoat,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20261102-1 --rhyme mary_contrary --format long
2026-11-02,13:00,SHT-20261102-2,short,Lavender's Blue,rhyme,a cosy wooden treehouse with round windows,"plum, mustard, soft grey",a spotted puppy with oversized paws,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20261102-2 --rhyme lavenders_blue --format short
2026-11-02,17:00,VID-20261102-3,long,The Itsy Bitsy Spider,rhyme,a small harbour where painted boats bob at their moorings,"forest green, cream, honey",a quiet grey mouse with a patchwork bag,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20261102-3 --rhyme itsy_bitsy --format long
2026-11-02,21:00,SHT-20261102-4,short,"Baa, Baa, Black Sheep",rhyme,a sunlit kitchen garden with tall sunflowers,"lavender, mint, warm white",a friendly goose in a straw hat,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20261102-4 --rhyme baa_baa --format short
2026-11-03,09:00,VID-20261103-1,long,"One, Two, Buckle My Shoe",counting,a snowy village square with warm lantern light,"soft teal, apricot, ivory",a small striped bumblebee with tired wings,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20261103-1 --rhyme one_two_buckle --format long
2026-11-03,13:00,SHT-20261103-2,short,Humpty Dumpty,rhyme,a riverbank where willows dip into slow water,"clay pink, olive, sand",a soft grey seal pup with wide eyes,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20261103-2 --rhyme humpty --format short
2026-11-03,17:00,VID-20261103-3,long,Old King Cole,rhyme,a friendly red barn at the edge of a green field,"midnight blue, silver, pale rose",a small brown wren with a bright eye,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20261103-3 --rhyme old_king_cole --format long
2026-11-03,21:00,SHT-20261103-4,short,Georgie Porgie,rhyme,a bright attic room full of soft toys and books,"moss green, butter yellow, chalk",a small round owl with speckled feathers,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20261103-4 --rhyme georgie_porgie --format short
2026-11-04,09:00,VID-20261104-1,long,Simple Simon,rhyme,a windmill on a low hill with long grass,"russet, cream, slate blue",a patient grey donkey with long ears,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20261104-1 --rhyme simple_simon --format long
2026-11-04,13:00,SHT-20261104-2,short,"Peter, Peter, Pumpkin Eater",rhyme,a duck pond ringed with smooth grey stones,"periwinkle, peach, warm grey",a curious hedgehog in a knitted scarf,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20261104-2 --rhyme peter_pumpkin --format short
2026-11-04,17:00,VID-20261104-3,long,"Baa, Baa, Black Sheep",rhyme,an orchard of short apple trees in soft afternoon light,"deep plum, sage, oatmeal","a slow, cheerful tortoise",PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20261104-3 --rhyme baa_baa --format long
2026-11-04,21:00,SHT-20261104-4,short,There Was an Old Woman Who Lived in a Shoe,rhyme,a lighthouse keeper's cottage above a calm bay,"denim blue, wheat, soft white",a fluffy duckling who hums along,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20261104-4 --rhyme old_woman_shoe --format short
2026-11-05,09:00,VID-20261105-1,long,Rock-a-Bye Baby,lullaby,"a market square with striped awnings, early morning","pine green, copper, bone",a gentle brown bear cub,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20261105-1 --rhyme rock_a_bye --format long
2026-11-05,13:00,SHT-20261105-2,short,Polly Put the Kettle On,rhyme,a mossy woodland clearing with dappled sunlight,"mauve, straw, dove grey",a shy grey rabbit with one folded ear,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20261105-2 --rhyme polly_kettle --format short
2026-11-05,17:00,VID-20261105-3,long,Jack Be Nimble,rhyme,a sandy cove with gentle waves and rock pools,"seafoam, coral, linen",a tidy badger with round spectacles,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20261105-3 --rhyme jack_nimble --format long
2026-11-05,21:00,SHT-20261105-4,short,Little Jack Horner,rhyme,a greenhouse full of seedlings and watering cans,"deep indigo, soft gold, cream",a sleepy orange cat with a bell,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20261105-4 --rhyme jack_horner --format short
2026-11-06,09:00,VID-20261106-1,long,Little Jack Horner,rhyme,a bakery window with warm light and round loaves,"sage green, warm terracotta, oat",a small red fox with a white-tipped tail,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20261106-1 --rhyme jack_horner --format long
2026-11-06,13:00,SHT-20261106-2,short,Hot Cross Buns,rhyme,a wildflower field with a low stone wall,"dusty blue, buttermilk, pale coral",a woolly lamb with a crooked fringe,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20261106-2 --rhyme hot_cross_buns --format short
2026-11-06,17:00,VID-20261106-3,long,Hickory Dickory Dock,rhyme,a train platform in a tiny country station,"plum, mustard, soft grey",a bright green frog in wellington boots,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20261106-3 --rhyme hickory_dickory --format long
2026-11-06,21:00,SHT-20261106-4,short,Diddle Diddle Dumpling,rhyme,a hillside sheep pasture under drifting clouds,"forest green, cream, honey",a plump robin with a red waistcoat,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20261106-4 --rhyme diddle_dumpling --format short
2026-11-07,09:00,VID-20261107-1,long,Old MacDonald Had a Farm,rhyme,a cobbled lane with window boxes and a blue door,"lavender, mint, warm white",a spotted puppy with oversized paws,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20261107-1 --rhyme old_macdonald --format long
2026-11-07,13:00,SHT-20261107-2,short,Three Blind Mice,rhyme,a frozen pond with soft snow on the reeds,"soft teal, apricot, ivory",a quiet grey mouse with a patchwork bag,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20261107-2 --rhyme three_mice --format short
2026-11-07,17:00,VID-20261107-3,long,Three Blind Mice,rhyme,"a rope bridge over a shallow, sunny stream","clay pink, olive, sand",a friendly goose in a straw hat,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20261107-3 --rhyme three_mice --format long
2026-11-07,21:00,SHT-20261107-4,short,Pop Goes the Weasel,rhyme,a hay loft with warm light through the slats,"midnight blue, silver, pale rose",a small striped bumblebee with tired wings,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20261107-4 --rhyme pop_weasel --format short
2026-11-08,09:00,VID-20261108-1,long,Curly Locks,rhyme,a quiet hilltop meadow under a wide evening sky,"moss green, butter yellow, chalk",a soft grey seal pup with wide eyes,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20261108-1 --rhyme curly_locks --format long
2026-11-08,13:00,SHT-20261108-2,short,"Row, Row, Row Your Boat",rhyme,a cosy wooden treehouse with round windows,"russet, cream, slate blue",a small brown wren with a bright eye,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20261108-2 --rhyme row_row --format short
2026-11-08,17:00,VID-20261108-3,long,"Hush, Little Baby",lullaby,a small harbour where painted boats bob at their moorings,"periwinkle, peach, warm grey",a small round owl with speckled feathers,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20261108-3 --rhyme hush_little_baby --format long
2026-11-08,21:00,SHT-20261108-4,short,The Farmer in the Dell,rhyme,a sunlit kitchen garden with tall sunflowers,"deep plum, sage, oatmeal",a patient grey donkey with long ears,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20261108-4 --rhyme farmer_dell --format short
2026-11-09,09:00,VID-20261109-1,long,Skip to My Lou,rhyme,a snowy village square with warm lantern light,"denim blue, wheat, soft white",a curious hedgehog in a knitted scarf,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20261109-1 --rhyme skip_to_lou --format long
2026-11-09,13:00,SHT-20261109-2,short,Mary Had a Little Lamb,rhyme,a riverbank where willows dip into slow water,"pine green, copper, bone","a slow, cheerful tortoise",PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20261109-2 --rhyme mary_lamb --format short
2026-11-09,17:00,VID-20261109-3,long,Oranges and Lemons,rhyme,a friendly red barn at the edge of a green field,"mauve, straw, dove grey",a fluffy duckling who hums along,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20261109-3 --rhyme oranges_lemons --format long
2026-11-09,21:00,SHT-20261109-4,short,"One, Two, Buckle My Shoe",counting,a bright attic room full of soft toys and books,"seafoam, coral, linen",a gentle brown bear cub,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20261109-4 --rhyme one_two_buckle --format short
2026-11-10,09:00,VID-20261110-1,long,London Bridge Is Falling Down,rhyme,a windmill on a low hill with long grass,"deep indigo, soft gold, cream",a shy grey rabbit with one folded ear,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20261110-1 --rhyme london_bridge --format long
2026-11-10,13:00,SHT-20261110-2,short,London Bridge Is Falling Down,rhyme,a duck pond ringed with smooth grey stones,"sage green, warm terracotta, oat",a tidy badger with round spectacles,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20261110-2 --rhyme london_bridge --format short
2026-11-10,17:00,VID-20261110-3,long,Hot Cross Buns,rhyme,an orchard of short apple trees in soft afternoon light,"dusty blue, buttermilk, pale coral",a sleepy orange cat with a bell,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20261110-3 --rhyme hot_cross_buns --format long
2026-11-10,21:00,SHT-20261110-4,short,Oranges and Lemons,rhyme,a lighthouse keeper's cottage above a calm bay,"plum, mustard, soft grey",a small red fox with a white-tipped tail,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20261110-4 --rhyme oranges_lemons --format short
2026-11-11,09:00,VID-20261111-1,long,Mary Had a Little Lamb,rhyme,"a market square with striped awnings, early morning","forest green, cream, honey",a woolly lamb with a crooked fringe,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20261111-1 --rhyme mary_lamb --format long
2026-11-11,13:00,SHT-20261111-2,short,"Star Light, Star Bright",rhyme,a mossy woodland clearing with dappled sunlight,"lavender, mint, warm white",a bright green frog in wellington boots,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20261111-2 --rhyme star_light --format short
2026-11-11,17:00,VID-20261111-3,long,"Row, Row, Row Your Boat",rhyme,a sandy cove with gentle waves and rock pools,"soft teal, apricot, ivory",a plump robin with a red waistcoat,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20261111-3 --rhyme row_row --format long
2026-11-11,21:00,SHT-20261111-4,short,Frere Jacques (Are You Sleeping?),rhyme,a greenhouse full of seedlings and watering cans,"clay pink, olive, sand",a spotted puppy with oversized paws,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20261111-4 --rhyme frere_jacques --format short
2026-11-12,09:00,VID-20261112-1,long,"Rain, Rain, Go Away",rhyme,a bakery window with warm light and round loaves,"midnight blue, silver, pale rose",a quiet grey mouse with a patchwork bag,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20261112-1 --rhyme rain_go_away --format long
2026-11-12,13:00,SHT-20261112-2,short,Old King Cole,rhyme,a wildflower field with a low stone wall,"moss green, butter yellow, chalk",a friendly goose in a straw hat,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20261112-2 --rhyme old_king_cole --format short
2026-11-12,17:00,VID-20261112-3,long,Lavender's Blue,rhyme,a train platform in a tiny country station,"russet, cream, slate blue",a small striped bumblebee with tired wings,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20261112-3 --rhyme lavenders_blue --format long
2026-11-12,21:00,SHT-20261112-4,short,"Rain, Rain, Go Away",rhyme,a hillside sheep pasture under drifting clouds,"periwinkle, peach, warm grey",a soft grey seal pup with wide eyes,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20261112-4 --rhyme rain_go_away --format short
2026-11-13,09:00,VID-20261113-1,long,Humpty Dumpty,rhyme,a cobbled lane with window boxes and a blue door,"deep plum, sage, oatmeal",a small brown wren with a bright eye,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20261113-1 --rhyme humpty --format long
2026-11-13,13:00,SHT-20261113-2,short,Yankee Doodle,rhyme,a frozen pond with soft snow on the reeds,"denim blue, wheat, soft white",a small round owl with speckled feathers,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20261113-2 --rhyme yankee_doodle --format short
2026-11-13,17:00,VID-20261113-3,long,Polly Put the Kettle On,rhyme,"a rope bridge over a shallow, sunny stream","pine green, copper, bone",a patient grey donkey with long ears,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20261113-3 --rhyme polly_kettle --format long
2026-11-13,21:00,SHT-20261113-4,short,Jack Be Nimble,rhyme,a hay loft with warm light through the slats,"mauve, straw, dove grey",a curious hedgehog in a knitted scarf,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20261113-4 --rhyme jack_nimble --format short
2026-11-14,09:00,VID-20261114-1,long,Pop Goes the Weasel,rhyme,a quiet hilltop meadow under a wide evening sky,"seafoam, coral, linen","a slow, cheerful tortoise",PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20261114-1 --rhyme pop_weasel --format long
2026-11-14,13:00,SHT-20261114-2,short,"Twinkle, Twinkle, Little Star",rhyme,a cosy wooden treehouse with round windows,"deep indigo, soft gold, cream",a fluffy duckling who hums along,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20261114-2 --rhyme twinkle --format short
2026-11-14,17:00,VID-20261114-3,long,"Peter, Peter, Pumpkin Eater",rhyme,a small harbour where painted boats bob at their moorings,"sage green, warm terracotta, oat",a gentle brown bear cub,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20261114-3 --rhyme peter_pumpkin --format long
2026-11-14,21:00,SHT-20261114-4,short,Little Bo-Peep,rhyme,a sunlit kitchen garden with tall sunflowers,"dusty blue, buttermilk, pale coral",a shy grey rabbit with one folded ear,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20261114-4 --rhyme bo_peep --format short
2026-11-15,09:00,VID-20261115-1,long,"Pat-a-Cake, Pat-a-Cake",rhyme,a snowy village square with warm lantern light,"plum, mustard, soft grey",a tidy badger with round spectacles,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20261115-1 --rhyme pat_a_cake --format long
2026-11-15,13:00,SHT-20261115-2,short,Cock-a-Doodle-Doo,rhyme,a riverbank where willows dip into slow water,"forest green, cream, honey",a sleepy orange cat with a bell,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20261115-2 --rhyme cock_doodle --format short
2026-11-15,17:00,VID-20261115-3,long,This Little Piggy,rhyme,a friendly red barn at the edge of a green field,"lavender, mint, warm white",a small red fox with a white-tipped tail,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20261115-3 --rhyme this_piggy --format long
2026-11-15,21:00,SHT-20261115-4,short,Hey Diddle Diddle,rhyme,a bright attic room full of soft toys and books,"soft teal, apricot, ivory",a woolly lamb with a crooked fringe,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20261115-4 --rhyme hey_diddle --format short
2026-11-16,09:00,VID-20261116-1,long,Little Miss Muffet,rhyme,a windmill on a low hill with long grass,"clay pink, olive, sand",a bright green frog in wellington boots,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20261116-1 --rhyme miss_muffet --format long
2026-11-16,13:00,SHT-20261116-2,short,Ding Dong Bell,rhyme,a duck pond ringed with smooth grey stones,"midnight blue, silver, pale rose",a plump robin with a red waistcoat,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20261116-2 --rhyme ding_dong_bell --format short
2026-11-16,17:00,VID-20261116-3,long,"Tom, Tom, the Piper's Son",rhyme,an orchard of short apple trees in soft afternoon light,"moss green, butter yellow, chalk",a spotted puppy with oversized paws,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20261116-3 --rhyme tom_piper --format long
2026-11-16,21:00,SHT-20261116-4,short,Wee Willie Winkie,rhyme,a lighthouse keeper's cottage above a calm bay,"russet, cream, slate blue",a quiet grey mouse with a patchwork bag,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20261116-4 --rhyme wee_willie --format short
2026-11-17,09:00,VID-20261117-1,long,Hey Diddle Diddle,rhyme,"a market square with striped awnings, early morning","periwinkle, peach, warm grey",a friendly goose in a straw hat,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20261117-1 --rhyme hey_diddle --format long
2026-11-17,13:00,SHT-20261117-2,short,"Tom, Tom, the Piper's Son",rhyme,a mossy woodland clearing with dappled sunlight,"deep plum, sage, oatmeal",a small striped bumblebee with tired wings,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20261117-2 --rhyme tom_piper --format short
2026-11-17,17:00,VID-20261117-3,long,Ring a Ring o' Roses,rhyme,a sandy cove with gentle waves and rock pools,"denim blue, wheat, soft white",a soft grey seal pup with wide eyes,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20261117-3 --rhyme ring_roses --format long
2026-11-17,21:00,SHT-20261117-4,short,Jack and Jill,rhyme,a greenhouse full of seedlings and watering cans,"pine green, copper, bone",a small brown wren with a bright eye,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20261117-4 --rhyme jack_jill --format short
2026-11-18,09:00,VID-20261118-1,long,Diddle Diddle Dumpling,rhyme,a bakery window with warm light and round loaves,"mauve, straw, dove grey",a small round owl with speckled feathers,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20261118-1 --rhyme diddle_dumpling --format long
2026-11-18,13:00,SHT-20261118-2,short,The Itsy Bitsy Spider,rhyme,a wildflower field with a low stone wall,"seafoam, coral, linen",a patient grey donkey with long ears,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20261118-2 --rhyme itsy_bitsy --format short
2026-11-18,17:00,VID-20261118-3,long,The Farmer in the Dell,rhyme,a train platform in a tiny country station,"deep indigo, soft gold, cream",a curious hedgehog in a knitted scarf,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20261118-3 --rhyme farmer_dell --format long
2026-11-18,21:00,SHT-20261118-4,short,Skip to My Lou,rhyme,a hillside sheep pasture under drifting clouds,"sage green, warm terracotta, oat","a slow, cheerful tortoise",PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20261118-4 --rhyme skip_to_lou --format short
2026-11-19,09:00,VID-20261119-1,long,Frere Jacques (Are You Sleeping?),rhyme,a cobbled lane with window boxes and a blue door,"dusty blue, buttermilk, pale coral",a fluffy duckling who hums along,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20261119-1 --rhyme frere_jacques --format long
2026-11-19,13:00,SHT-20261119-2,short,The Grand Old Duke of York,rhyme,a frozen pond with soft snow on the reeds,"plum, mustard, soft grey",a gentle brown bear cub,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20261119-2 --rhyme duke_york --format short
2026-11-19,17:00,VID-20261119-3,long,"Star Light, Star Bright",rhyme,"a rope bridge over a shallow, sunny stream","forest green, cream, honey",a shy grey rabbit with one folded ear,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20261119-3 --rhyme star_light --format long
2026-11-19,21:00,SHT-20261119-4,short,"Pat-a-Cake, Pat-a-Cake",rhyme,a hay loft with warm light through the slats,"lavender, mint, warm white",a tidy badger with round spectacles,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20261119-4 --rhyme pat_a_cake --format short
2026-11-20,09:00,VID-20261120-1,long,Cock-a-Doodle-Doo,rhyme,a quiet hilltop meadow under a wide evening sky,"soft teal, apricot, ivory",a sleepy orange cat with a bell,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20261120-1 --rhyme cock_doodle --format long
2026-11-20,13:00,SHT-20261120-2,short,Little Miss Muffet,rhyme,a cosy wooden treehouse with round windows,"clay pink, olive, sand",a small red fox with a white-tipped tail,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20261120-2 --rhyme miss_muffet --format short
2026-11-20,17:00,VID-20261120-3,long,Jack and Jill,rhyme,a small harbour where painted boats bob at their moorings,"midnight blue, silver, pale rose",a woolly lamb with a crooked fringe,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20261120-3 --rhyme jack_jill --format long
2026-11-20,21:00,SHT-20261120-4,short,This Little Piggy,rhyme,a sunlit kitchen garden with tall sunflowers,"moss green, butter yellow, chalk",a bright green frog in wellington boots,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20261120-4 --rhyme this_piggy --format short
2026-11-21,09:00,VID-20261121-1,long,"Twinkle, Twinkle, Little Star",rhyme,a snowy village square with warm lantern light,"russet, cream, slate blue",a plump robin with a red waistcoat,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20261121-1 --rhyme twinkle --format long
2026-11-21,13:00,SHT-20261121-2,short,Ring a Ring o' Roses,rhyme,a riverbank where willows dip into slow water,"periwinkle, peach, warm grey",a spotted puppy with oversized paws,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20261121-2 --rhyme ring_roses --format short
2026-11-21,17:00,VID-20261121-3,long,The Muffin Man,rhyme,a friendly red barn at the edge of a green field,"deep plum, sage, oatmeal",a quiet grey mouse with a patchwork bag,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20261121-3 --rhyme muffin_man --format long
2026-11-21,21:00,SHT-20261121-4,short,Simple Simon,rhyme,a bright attic room full of soft toys and books,"denim blue, wheat, soft white",a friendly goose in a straw hat,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20261121-4 --rhyme simple_simon --format short
2026-11-22,09:00,VID-20261122-1,long,Wee Willie Winkie,rhyme,a windmill on a low hill with long grass,"pine green, copper, bone",a small striped bumblebee with tired wings,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20261122-1 --rhyme wee_willie --format long
2026-11-22,13:00,SHT-20261122-2,short,"Mary, Mary, Quite Contrary",rhyme,a duck pond ringed with smooth grey stones,"mauve, straw, dove grey",a soft grey seal pup with wide eyes,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20261122-2 --rhyme mary_contrary --format short
2026-11-22,17:00,VID-20261122-3,long,Little Bo-Peep,rhyme,an orchard of short apple trees in soft afternoon light,"seafoam, coral, linen",a small brown wren with a bright eye,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20261122-3 --rhyme bo_peep --format long
2026-11-22,21:00,SHT-20261122-4,short,Old MacDonald Had a Farm,rhyme,a lighthouse keeper's cottage above a calm bay,"deep indigo, soft gold, cream",a small round owl with speckled feathers,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20261122-4 --rhyme old_macdonald --format short
2026-11-23,09:00,VID-20261123-1,long,Ding Dong Bell,rhyme,"a market square with striped awnings, early morning","sage green, warm terracotta, oat",a patient grey donkey with long ears,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20261123-1 --rhyme ding_dong_bell --format long
2026-11-23,13:00,SHT-20261123-2,short,Curly Locks,rhyme,a mossy woodland clearing with dappled sunlight,"dusty blue, buttermilk, pale coral",a curious hedgehog in a knitted scarf,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20261123-2 --rhyme curly_locks --format short
2026-11-23,17:00,VID-20261123-3,long,Bobby Shafto's Gone to Sea,rhyme,a sandy cove with gentle waves and rock pools,"plum, mustard, soft grey","a slow, cheerful tortoise",PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20261123-3 --rhyme bobby_shafto --format long
2026-11-23,21:00,SHT-20261123-4,short,Bobby Shafto's Gone to Sea,rhyme,a greenhouse full of seedlings and watering cans,"forest green, cream, honey",a fluffy duckling who hums along,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20261123-4 --rhyme bobby_shafto --format short
2026-11-24,09:00,VID-20261124-1,long,The Grand Old Duke of York,rhyme,a bakery window with warm light and round loaves,"lavender, mint, warm white",a gentle brown bear cub,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20261124-1 --rhyme duke_york --format long
2026-11-24,13:00,SHT-20261124-2,short,The Muffin Man,rhyme,a wildflower field with a low stone wall,"soft teal, apricot, ivory",a shy grey rabbit with one folded ear,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20261124-2 --rhyme muffin_man --format short
2026-11-24,17:00,VID-20261124-3,long,Georgie Porgie,rhyme,a train platform in a tiny country station,"clay pink, olive, sand",a tidy badger with round spectacles,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20261124-3 --rhyme georgie_porgie --format long
2026-11-24,21:00,SHT-20261124-4,short,Hickory Dickory Dock,rhyme,a hillside sheep pasture under drifting clouds,"midnight blue, silver, pale rose",a sleepy orange cat with a bell,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20261124-4 --rhyme hickory_dickory --format short
2026-11-25,09:00,VID-20261125-1,long,There Was an Old Woman Who Lived in a Shoe,rhyme,a cobbled lane with window boxes and a blue door,"moss green, butter yellow, chalk",a small red fox with a white-tipped tail,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20261125-1 --rhyme old_woman_shoe --format long
2026-11-25,13:00,SHT-20261125-2,short,Lavender's Blue,rhyme,a frozen pond with soft snow on the reeds,"russet, cream, slate blue",a woolly lamb with a crooked fringe,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20261125-2 --rhyme lavenders_blue --format short
2026-11-25,17:00,VID-20261125-3,long,Yankee Doodle,rhyme,"a rope bridge over a shallow, sunny stream","periwinkle, peach, warm grey",a bright green frog in wellington boots,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20261125-3 --rhyme yankee_doodle --format long
2026-11-25,21:00,SHT-20261125-4,short,"Baa, Baa, Black Sheep",rhyme,a hay loft with warm light through the slats,"deep plum, sage, oatmeal",a plump robin with a red waistcoat,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20261125-4 --rhyme baa_baa --format short
2026-11-26,09:00,VID-20261126-1,long,"Mary, Mary, Quite Contrary",rhyme,a quiet hilltop meadow under a wide evening sky,"denim blue, wheat, soft white",a spotted puppy with oversized paws,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20261126-1 --rhyme mary_contrary --format long
2026-11-26,13:00,SHT-20261126-2,short,Humpty Dumpty,rhyme,a cosy wooden treehouse with round windows,"pine green, copper, bone",a quiet grey mouse with a patchwork bag,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20261126-2 --rhyme humpty --format short
